,link_text,href
0,Labor Circular On-Line,https://www.chanrobles.com/legal4circular.htm#LABOR%20CIRCULAR%20ON-LINE
1,Labor Code of the Philippines,https://www.chanrobles.com/legal4labor.htm#LABOR%20CODE%20OF%20THE%20PHILIPPINES%20%5BFULL%20TEXT%5D
2,Amendments to the Labor Code (Republic Act No. 6715),https://www.chanrobles.com/republicactno6715.html
3,Amendments to the Labor Code (Presidential Decree No. 626) [Employees' Compensation and State Insurance Fund],https://www.chanrobles.com/presidentialdecreeno626.html
4,"An Act to Amend Articles 212, 217, 218, 255, 264, 265 and 273 of the Labor Code of the Philippines, and for Other Purposes  (Batas Pambansa Bilang 227)",https://www.chanrobles.com/bataspambansabilang227.htm
5,"An Act Amending Articles 214, 217, 231, 232, 234, 249, 250, 251, 257, 262, 263, 264, 265, 278, 283, and 284 of Presidential Decree Numbered Four Hundred and Forty-Two, Otherwise Known as the Labor Code of the Philippines, As Amended, to Further Promote Free Trade Unionism and Collective Bargaining and For Other Purposes (Batas Pambansa Bilang 130)",https://www.chanrobles.com/bataspambansabilang130.htm
6,"An Act to Strengthen the Constitutional Right of Workers to Self-Organization and Free Collective Bargaining and to Penalize Unfair Labor Practices, Further Amending for the Purpose Articles 244, 247, 248, 249, 250, and  289 (Book V) of Presidential Decree Numbered Four Hundred Forty-Two, As Amended, Otherwise Known as the Labor Code of the Philippines (Batas Pambansa Bilang 70)",https://www.chanrobles.com/bataspambansabilang70.htm
7,"An Act to Amend Articles Nine and Ten, Chapter Two, Preliminary Title, of Presidential Decree Numbered Four Hundred Forty-Two, As Amended, Otherwise Known as the Labor Code of the Philippines, in Order to Remove Discrepancies With Presidential Decree Numbered Twenty-Seven Which Said Chapter Purports to Reproduce (Batas Pambansa Bilang 32)",https://www.chanrobles.com/bataspambansabilang32.htm
8,Omnibus Rules Implementing the Labor Code of the Philippines,https://www.chanrobles.com/implementingrulesofthelaborcode.htm
9,Guidelines Governing Labor Relations,https://www.chanrobles.com/guidelinesgoverninglaborelations.htm
10,"Guidelines for the Conduct of INP/AFP Personnel During Strikes, Lockouts and Labor Disputes in General",https://www.chanrobles.com/guidelinesonpoliceconductduringstrikes.htm
11,Amended Rules on Employees' Compensation,https://www.chanrobles.com/amendedrulesonemployeescompensation.htm
12,"Department Order No. 9, (Series of 1997) [Amending the Rules Implementing Book V of the Labor Code, As Amended]",https://www.chanrobles.com/doledepartmentorderno9-1997.html
13,Rules on the Disposition of Labor Standards Cases in the Regional Offices,https://www.chanrobles.com/dispositionoflaborstandardscases.htm
14,"An Act Further Strengthening the Visitorial and Enforcement Powers of the Secretary of Labor and Employment, Amending for the Purpose Article 128 (b) of Presidential Decree Numbered Four Hundred Forty-Two, As Amended, Otherwise Known as the Labor Code of the Philippines [Republic Act No. 7730]",https://www.chanrobles.com/republicactno7730.htm
15,Social Security Act of 1997,https://www.chanrobles.com/legal4sss.htm#SOCIAL%20SECURITY%20ACT%20OF%201997
16,An Act Instituting Limited Portability Scheme in the Social Security Systems by Totalizing the Workers' Creditable Services or Contributions in Each of the Systems [Republic Act No. 7699],https://www.chanrobles.com/republicactno7699.htm
17,Government Service Insurance System Act of 1997,https://www.chanrobles.com/legal4gsis.htm#GOVERNMENT%20SERVICE%20INSURANCE%20SYSTEM%20ACT%20OF%201997
18,Home Development Mutual Fund Law of 1980 (Pag-IBIG Law),https://www.chanrobles.com/legal4pagibig.htm#HOME%20DEVELOPMENT%20MUTUAL%20FUND%20LAW%20OF%201980
19,National Health Insurance Act of 1995,https://www.chanrobles.com/legal4nhia.htm#PHILIPPINE%20NATIONAL%20HEALTH%20INSURANCE%20ACT%20OF%201995
20,"An Act Amending Republic Act No. 7875, Otherwise Known as ""An Act Instituting a National Health Insurance Program for All Filipinos and Establishing the Philippine Health Insurance Corporation for the Purpose"". [Republic Act No. 9241]",https://www.chanrobles.com/republicactno9241.html
21,Revised Philippine Medical Care Act,https://www.chanrobles.com/legal4medicare.htm#REVISED%20PHILIPPINE%20MEDICAL%20CARE%20ACT
22,Comprehensive Agrarian Reform Law of 1988,https://www.chanrobles.com/legal4agrarianlaw.htm
23,An Act to Promote the Development of the Farmers in the Virginia Tobacco-Producing Provinces  (Republic Act No. 7171),https://www.chanrobles.com/republicactno7171.htm
24,"An Act Amending Certain Provisions of Republic Act No. 6657, Entitled  ""An Act Instituting a Comprehensive Agrarian Reform Program to Promote Social Justice and Industrialization, Providing the Mechanism for Its Implementation, and for Other Purposes"" [Republic Act No. 7881]",https://www.chanrobles.com/republicactno7881.htm
25,The Magna Carta of Public Health Workers,https://www.chanrobles.com/republicactno7305.htm
26,Public Employment Service Office Act of 1999,https://www.chanrobles.com/republicactno8759.htm
27,Paternity Leave Act of 1996,https://www.chanrobles.com/legal4paternity.htm
28,Retirement Pay Law (Republic Act No. 7641),https://www.chanrobles.com/republicactno7641.htm
29,"Retirement Age of Underground Mine Workers (Article 287, As Amended)",https://www.chanrobles.com/republicactno8558.htm
30,Magna Carta for Disabled Persons  [Republic Act No. 7277],https://www.chanrobles.com/republicactno7277.htm
31,"Special Protection of Children Against Abuse, Exploitation and Discrimination Act  [Republic Act No. 7610]",https://www.chanrobles.com/republicactno7610.html
32,"An Act Prohibiting the Employment of Children Below 15 Years of Age in Public and Private Undertakings Amending for This Purpose Section 12, Article VIII of R. A. 7610  [Republic Act No. 7658]",https://www.chanrobles.com/republicactno7658.htm
33,"An Act Providing for the Elimination of the Worst Forms of Child Labor and Affording Stronger Protection for the Working Child, Amending for this Purpose Republic Act No. 7610, as Amended, Otherwise Known as the ""Special Protection of Children Against Child Abuse, Exploitation and Discrimination Act [Republic Act No. 9231]",https://www.chanrobles.com/republicactno9231.html
34,"Rules and Regulations Implementing Republic Act No. 9231, Amending R. A. 7610, as Amended [Department Order No. 65-04 - July 26, 2004]",https://www.chanrobles.com/republicactno9231rules.html
35,Rules and Regulations on the Trafficking of Children,https://www.chanrobles.com/republicactno7610trafficofchildren.html
36,Maternity Benefits [Republic Act No. 7322],https://www.chanrobles.com/legal4maternitybenefits.htm
37,Anti-Sexual Harassment Act of 1995,https://www.chanrobles.com/legal4antisexualharassmentact.htm
38,"Administrative Disciplinary Rules on Sexual Harassment Cases (CSC Resolution No. 01-0940, May 21, 2001)",https://www.chanrobles.com/republicactno7877rules.htm
39,Women in Development and Nation Building Act  [Republic Act No. 7192],https://www.chanrobles.com/republicactno7192.htm
40,"An Act Providing Assistance to Women Engaging in Micro and Cottage Business Enterprises, and for Other Purposes [Republic Act No. 7882]",https://www.chanrobles.com/republicactno7882.htm
41,An Act to Declare March Eight of Every Year as a Working Special Holiday to be Known as National Women's Day  [Republic Act No. 6949],https://www.chanrobles.com/republicactno6949.htm
42,"An Act Declaring the First Day of Shawwal, the Tenth Month of the Islamic Calendar, a National Holiday for the Observance of Eidul Fitr and the Tenth Day of Zhuld Hijja, the Twelfth Month of the Islamic Calendar, a Regional Holiday in the Autonomous Region in Muslim Mindanao (ARMM) for the Observance of Eidul Adha, Amending for the Purpose Section 26, Chapter 7 of Executive Order No. 292, Otherwise Known as the Administrative Code of 1987, And for Other Purposes  [Republic Act No. 9177]",https://www.chanrobles.com/republicactno9177.html
43,"An Act Strengthening the Prohibition on Discrimination Against Women with Respect to Terms and Conditions of Employment, Amending for the Purpose Article One Hundred Thirty-Five of the Labor Code, As Amended  [Republic Act No. 6725]",https://www.chanrobles.com/republicactno6725.htm
44,"Guidelines in the Filing and Resolution of Appeal from the Decisions of the Bureau of Labor Relations on Certification Election Cases in the Public Sector (PSLMC Resolution No. 03, S. 2001)",https://www.chanrobles.com/pslmcresolution032001.htm
45,TESDA Act of 1994,https://www.chanrobles.com/legal4tesda.htm
46,TESDA Implementing Rules and Regulations,https://www.chanrobles.com/legal4tesdarules.htm
47,Dual Training System Act of 1994 ,https://www.chanrobles.com/republicactno7686.htm
48,Countrywide Industrialization Act of 1992 [Republic Act No. 7368],https://www.chanrobles.com/republicactno7368.htm
49,Magna Carta for Countryside and Barangay Business Enterprises (Kalakalan 20)  [Republic Act No. 6810],https://www.chanrobles.com/republicactno6810.htm
50,Barangay Health Workers' Benefits and Incentives Act of  1995 [Republic Act No. 7883],https://www.chanrobles.com/republicactno7883.htm
51,"An Act to Help Poor But Deserving Students Pursue Their Education By Encouraging Their Employment During Summer and/or Christmas Vacations, Through Incentives Granted to Employers, Allowing Them to Pay Only Sixty Per Centum of Their Salaries or Wages and the Forty Per Centum Through Education Vouchers to be Paid By the Government, Prohibiting and Penalizing the Filing of Fraudulent or Fictitious Claims, and for Other Purposes  [Republic Act No. 7323]",https://www.chanrobles.com/republicactno7323.htm
52,"An Act Strengthening the Social Amelioration Program in the Sugar Industry, Providing the Mechanics for Its Implementation, and for Other Purposes  [Republic Act No. 6982]",https://www.chanrobles.com/republicactno6982.htm
53,Wage Rationalization Act [Republic Act No. 6727],https://www.chanrobles.com/legal4wagerationalize.htm
54,Rules of Procedure on Minimum Wage Fixing,https://www.chanrobles.com/minimumwagefixingrules.htm
55,WAGE ORDERS,https://www.chanrobles.com/minimumwagerates.htm
56,An Act Providing for an Increase in the Wage of Public or Government Sector Employees on a Daily Wage Basis and in the Statutory Minimum Wage and Salary Rates of Employees and Workers in the Private Sector and for Other Purposes  [Republic Act No. 6640],https://www.chanrobles.com/republicactno6640.htm
57,Government Assistance to Students and Teachers in Private Education Act [Republic Act No. 6728],https://www.chanrobles.com/republicactno6728.htm
58,Law Increasing Penalty for Violation of  Wage Laws [R.A. 8188],https://www.chanrobles.com/legal4wagepenalty.htm
59,Productivity Incentives Act of 1990  [Republic Act No. 6971],https://www.chanrobles.com/republicactno6971.htm
60,Law Further Amending Articles 38 and 39 of the Labor Code by Making Illegal Recruitment a Crime of Economic Sabotage and Punishable with Life Imprisonment [Presidential Decree No. 2018],https://www.chanrobles.com/presidentialdecreeno2018.html
61,Civil Service Decree of the Philippines (Presidential Decree No. 807),https://www.chanrobles.com/presidentialdecreeno807.htm
62,"AN ACT REPEALING SECTION FORTY OF PRESIDENTIAL DECREE NUMBERED EIGHT HUNDRED SEVEN, OTHERWISE KNOWN AS THE CIVIL SERVICE DECREE.  (Republic Act No. 6654)",https://www.chanrobles.com/republicactno6654.htm
63,AN ACT TO PROTECT THE SECURITY OF TENURE OF CIVIL SERVICE OFFICERS AND EMPLOYEES IN THE IMPLEMENTATION OF GOVERNMENT REORGANIZATION. (Republic Act No. 6656),https://www.chanrobles.com/republicactno6656.htm
64,"AN ACT PROVIDING BENEFITS FOR EARLY RETIREMENT AND VOLUNTARY SEPARATION FROM THE GOVERNMENT SERVICE, AS WELL AS INVOLUNTARY SEPARATION OF CIVIL SERVICE OFFICERS AND EMPLOYEES PURSUANT TO VARIOUS EXECUTIVE ORDERS AUTHORIZING GOVERNMENT REORGANIZATION AFTER THE RATIFICATION OF THE 1987 CONSTITUTION APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES. (Republic Act No. 6683)",https://www.chanrobles.com/republicactno6683.htm
65,AN ACT AUTHORIZING ANNUAL CHRISTMAS BONUS TO NATIONAL AND LOCAL GOVERNMENT OFFICIALS AND EMPLOYEES STARTING CY 1988. (Republic Act No. 6686),https://www.chanrobles.com/republicactno6686.htm
66,COMPENSATION AND POSITION CLASSIFICATION ACT OF 1989  (AN ACT PRESCRIBING A REVISED COMPENSATION AND POSITION CLASSIFICATION SYSTEM IN THE GOVERNMENT AND FOR OTHER PURPOSES) (Republic Act No. 6758),https://www.chanrobles.com/republicactno6758.htm
67,"AN ACT TO GRANT CIVIL SERVICE ELIGIBILITY UNDER CERTAIN CONDITIONS TO GOVERNMENT EMPLOYEES APPOINTED UNDER PROVISIONAL OR TEMPORARY STATUS WHO HAVE RENDERED A TOTAL OF SEVEN (7) YEARS OF EFFICIENT SERVICE, AND FOR OTHER PURPOSES. (Republic Act No. 6850)",https://www.chanrobles.com/republicactno6850.htm
68,Cooperative Code of the Philippines [Republic Act No. 6938],https://www.chanrobles.com/republicactno6938.htm
69,"AN ACT CREATING THE COOPERATIVE DEVELOPMENT AUTHORITY TO PROMOTE THE VIABILITY AND GROWTH OF COOPERATIVES AS INSTRUMENTS OF EQUITY, SOCIAL JUSTICE AND ECONOMIC DEVELOPMENT, DEFINING ITS POWERS, FUNCTIONS AND RESPONSIBILITIES, RATIONALIZING GOVERNMENT POLICIES AND AGENCIES WITH COOPERATIVE FUNCTIONS, SUPPORTING COOPERATIVE DEVELOPMENT, TRANSFERRING THE REGISTRATION AND REGULATION FUNCTIONS OF EXISTING GOVERNMENT AGENCIES ON COOPERATIVES AS SUCH AND CONSOLIDATING THE SAME WITH THE AUTHORITY, APPROPRIATING FUNDS THEREFOR, AND FOR OTHER PURPOSES. (Republic Act No. 6939)",https://www.chanrobles.com/republicactno6939.htm
